Instrumento;Acción;Cantidad;Precio;Tiempo;ID;E/X;Posición;ID de orden;Nombre;Comisión;Tarifa;Nombre de cuenta de pantalla;Conexión;
NQ 09-25;Vender;1;22980,00;03/07/2025 10:35:47;c6ac9b30d6a64df082cc99d1569a054d;Salida;-;036a1ce2f110459ca3de51ca364dc871;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22964,25;03/07/2025 10:33:34;7bd449bc44df4eb2bd04e5966a59726f;Entrada;1 L;5a2b358065d6403caf07911bacae124a;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22964,75;03/07/2025 10:30:35;c323f0921da7465e8b9756499c608fcd;Salida;-;ca73c7cba8cf4cc19946d6b092da8b5e;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22955,75;03/07/2025 10:30:18;3c61d9f656d24f9fa7370e514f70a203;Entrada;1 L;56fb9a31c4494e63a885e6b3eb8ad966;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22949,00;03/07/2025 10:30:12;2e48a012cad54a328fe1dcdadd4c5557;Salida;-;07c14be5002d4e5d9b7a0aeec26d4063;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22942,50;03/07/2025 10:30:02;b2679a8510f348438195f750df302216;Entrada;1 L;4226952212b0401787e784744defa60d;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22935,00;03/07/2025 10:28:06;735a17bd588041aebecabdfeb95e0735;Salida;-;f52d7e05016741b790c734c26d1e09c4;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22927,00;03/07/2025 10:24:09;0651da5f7831427fb26a404c5b1fbb26;Entrada;1 L;d1f907863f9d4535a3707bc5562a67ef;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22926,50;03/07/2025 10:07:19;694bcab1d5c746a0a8c933c779a625f7;Salida;-;dfc5c9cb4bbe4acfad35ec0b8534899f;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22920,00;03/07/2025 10:06:37;9ebf19522dd240a1a1563b98c628e3c8;Entrada;1 L;f9c1cce21ce1471e946c6d30524a75be;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22912,75;03/07/2025 09:36:38;96bac502a1a944e4a167b621efb539ef;Salida;-;40e1641c79a34cfabc91543a1bb1a855;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22921,50;03/07/2025 09:36:24;1586a3c0117b49c68537c38237f24d25;Entrada;1 L;ec906734c5a5419c926693a5ecfec7e0;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22932,50;03/07/2025 09:35:01;223698a7cdc1438cad80e7a584b025b5;Salida;-;da22ddab447b4458af1f2b6840f7bc8f;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22933,25;03/07/2025 09:35:01;dcf75d2bb46f453e9fb26939f7c953ff;Entrada;1 L;91f94e62a6c645d9b2ec1e4c4be0be33;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22888,75;03/07/2025 05:38:02;a230a5f51a7d4d2fa86c2493de9daf20;Salida;-;051c4267ad8f47bf80783a94ec716657;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22875,50;03/07/2025 05:36:09;930ada8d295d496ebd4c6ab99a98787b;Entrada;1 L;4c1f38e2b1f249c7bbbf31adfd1dfed1;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22882,25;03/07/2025 04:57:00;a32ab708c3e5437b9740af929bfc4a7e;Salida;-;499da1d6392540fea31f47c93b8a6efe;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22897,50;03/07/2025 04:39:50;adeef888391f4fc59c4daa775fed5d11;Entrada;1 L;8c78cd5ba30d4577bf276c9352b4603c;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22889,25;03/07/2025 04:27:48;1c33b60f26424b23aeccdebc1111af17;Salida;-;cbed5dd93d7440cea59b9a114a4c0358;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22874,25;03/07/2025 04:18:17;a1846245d09744a78555cb6639db6d76;Entrada;1 L;68ba37f857cf4f16bda4783c71dd6187;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22888,50;03/07/2025 03:44:30;6efede98e2aa496fad73030ec9d53253;Salida;-;76241a472f9f4757a18e54969bb30e82;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22884,50;03/07/2025 03:44:03;56627c83990c4d6abf5db808f47c7f9f;Entrada;1 L;d0b7476623ba4dab9c5959ff68044f32;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22874,00;03/07/2025 03:00:22;8b9092c308244b4a9568cc6a15927e26;Salida;-;239967e1bca04cb2a946ae20047039eb;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22868,00;03/07/2025 02:58:14;22e278a8adf4453691cc1e25cb92459e;Entrada;1 L;cd913550f4294454b134faf08e0bf5db;LongEntry;0,00 $;1;Playback101;Reproducción;
