Instrumento;Acción;Cantidad;Precio;Tiempo;ID;E/X;Posición;ID de orden;Nombre;Comisión;Tarifa;Nombre de cuenta de pantalla;Conexión;
NQ 09-25;Vender;1;22817,50;01/07/2025 10:57:01;89d8c254a350494db46ba773dd5db947;Salida;-;93fef069d89c46b58dc32e206a24f1fa;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22825,25;01/07/2025 10:56:36;2619c2c171cd4fc3bd9e1604aaab4af8;Entrada;1 L;78fa4f81a5644aa6a50e5d41080aeaab;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22821,50;01/07/2025 10:55:06;8b78423ce5ed4b3ea23810c35667be4a;Salida;-;02ac87209e0b4d3eb82f257c8e984215;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22831,25;01/07/2025 10:53:52;cbd9dc5d48be47e3808568d676e28f70;Entrada;1 L;ecc8c3653fda475fbdfe345dd48a913c;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22820,75;01/07/2025 10:52:43;1821d674a296404ba24e12cfd7420200;Salida;-;7ba1cc776ad74338ab5c62c8f052f337;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22831,00;01/07/2025 10:51:01;ba9c2d9a788b4722ad9816ef4f2314f2;Entrada;1 L;b04a0a382b0e4b62b4551da6fb2e287b;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22825,50;01/07/2025 10:50:50;7ce81ff3d8714483808f3b87548bcf9d;Salida;-;12fefe098a7a456ba6515994b30053bb;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22821,25;01/07/2025 10:49:23;09a6b990171f4cf7a083beea084be4cf;Entrada;1 L;fdb889612a884e078008065927cee68b;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22812,75;01/07/2025 10:49:00;739248e1b05c448dadb60b0f7eaca423;Salida;-;d06a13af9c924b72994943c9c1a1ba4a;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22813,50;01/07/2025 10:49:00;d83b43550e834050934f56ddaa934cab;Entrada;1 L;071944ea2eed42a4bafae4c0314cb4b8;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22809,25;01/07/2025 10:48:58;75aff7df9dac4a889ab92b4afd36efae;Salida;-;ca752a0bbd954ef299335a3be2959f89;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22800,00;01/07/2025 10:47:46;d9ee3f3cfc444229aa86fdc1e0585d07;Entrada;1 S;17c4f5155d9541eb976cde429a17fb53;ShortEntry;0,00 $;1;Playback101;Reproducción;
