Instrumento;Acción;Cantidad;Precio;Tiempo;ID;E/X;Posición;ID de orden;Nombre;Comisión;Tarifa;Nombre de cuenta de pantalla;Conexión;
NQ 09-25;Vender;1;21935,00;23/06/2025 11:00:03;d4189681901b42c7973818f1e06461ca;Salida;-;7aaefcf05f774054b0052dac1bfc996c;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21898,75;23/06/2025 10:47:40;e0f4616847054857a8f6ac130db01cd6;Entrada;1 L;3c8c28f5c00743d2a580c0e3b99a335e;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21874,00;23/06/2025 10:43:19;de672039d3604ee5b2435854e425aff1;Salida;-;3d92eb13a24f403086070dafa1b5f169;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21775,75;23/06/2025 10:33:44;2cde46ef60d544dfa8f6867ac6b27bc6;Entrada;1 S;4fd46f8af734414cbbe15201ca05cbe8;ShortEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21871,00;23/06/2025 10:08:28;6b3cc6773ef04907bb38b1635e10090e;Salida;-;71dbf3ce237949928571147315fa0764;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21866,25;23/06/2025 09:37:44;4edff948978a4e25ba2e26ef26061081;Entrada;1 L;7ae5928291ce44d2be06986b57166b46;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21858,25;23/06/2025 09:34:15;84dfebaae50b47f28e44e2c06c3e8579;Salida;-;f9d73e6be3084be294f09d2e6720abb1;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21829,75;23/06/2025 09:00:01;40290d4d790546b4bdbd7a8831a004c9;Entrada;1 L;ba77d534c7ba4e4a9e1cb98bc2b5eb65;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21799,00;23/06/2025 08:49:07;ef880c0b6c1e4cfeaf2056518227ecc7;Salida;-;5c00831766ac457ea8c6b4cee89f93ce;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21798,75;23/06/2025 08:26:18;bf72132ea22e4b8087e02e5448da3b58;Entrada;1 S;c68d0b4a257e476699b3534142538403;ShortEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21872,50;23/06/2025 07:01:02;ebc1ed597d944302b7b781fd03e3f94b;Salida;-;17e7a6c922ac49b7b61daf901a51ce7e;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21903,75;23/06/2025 06:26:15;20129c353a134464a03995e5e7763e38;Entrada;1 S;b75e2ddfcd5749c6829561ffc2621afd;ShortEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21926,00;23/06/2025 05:14:23;558c9085289d4f22aeb029423d753ebe;Salida;-;9b82e5e1d6064319a156730846aed914;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21918,25;23/06/2025 05:09:07;1a24c3b33c5341339c8a7b68153ab0ed;Entrada;1 L;d485fe3775b44021885afe22e721caea;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21880,00;23/06/2025 04:36:30;a6862eff4ee6465d9ec81843adf5ad6a;Salida;-;321164d2b51e46d98c2272669149f900;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21852,00;23/06/2025 04:26:51;d28636d0558a4038941cc701dfbb8c51;Entrada;1 L;2289139ff9fd4134912a2b66079abfbc;LongEntry;0,00 $;1;Playback101;Reproducción;
